share,change,dollarAmount,insiderPortfolioChange,zeroDay,oneDay,sevenDay,fourteenDay,thirtyDay
11311,-1549,-541778.24,-0.12045101088646967,358.0199890136719,1,1,0,0
15063,-1549,-541778.24,-0.09324584637611365,358.0199890136719,1,1,0,0
131314,-1549,-541778.24,-0.011658625802518384,358.0199890136719,1,1,0,0
43220,-1549,-541778.24,-0.03459983470705175,358.0199890136719,1,1,0,0
229763,-5158,-1804062.0799999998,-0.021956317230047546,358.0199890136719,1,1,0,0
211635,-3492,-1222200.0,-0.016232272099736433,351.80999755859375,1,1,1,0
215127,3492,80839.79999999999,0.01650010631511801,351.80999755859375,1,1,1,0
6908,-663,-219300.50999999998,-0.08757099458459913,330.79998779296875,1,1,1,0
161890,-100,-33564.0,-0.0006173220569170937,330.79998779296875,1,1,1,0
161990,-600,-200514.0,-0.0036902638538655512,330.79998779296875,1,1,1,0
162590,-1781,-593411.39,-0.010835244659946097,330.79998779296875,1,1,1,0
164371,-600,-199403.99999999997,-0.0036370028671705934,330.79998779296875,1,1,1,0
164971,-669,-221479.14,-0.004038879497705868,330.79998779296875,1,1,1,0
165640,-185,-60840.950000000004,-0.001115633951454847,328.55999755859375,1,1,1,1
165825,-470,-154385.6,-0.0028263026549204726,328.55999755859375,1,1,1,1
166295,-1550,-507547.5,-0.009234710596085674,328.55999755859375,1,1,1,1
167845,-800,-261288.0,-0.004743692371549705,328.55999755859375,1,1,1,1
168645,-100,-32494.0,-0.0005926101514118937,328.55999755859375,1,1,1,1
168745,-202,-65520.72,-0.0011956412366008276,328.55999755859375,1,1,1,1
168947,-443,-143173.17,-0.0026152665446602516,328.55999755859375,1,1,1,1
7044,-333,-106520.04,-0.04514030093533957,322.1700134277344,0,1,1,1
3215,-279,-89246.52,-0.07985117344018317,322.1700134277344,0,1,1,1
7571,-245,-78370.6,-0.03134595701125895,322.1700134277344,0,1,1,1
14835,-265,-84768.2,-0.017549668874172187,322.1700134277344,0,1,1,1
169390,-245,-78370.6,-0.001444277419164677,322.1700134277344,0,1,1,1
211635,-7037,-2462950.0,-0.03218061754591352,346.6499938964844,0,0,1,0
218672,7037,162906.55,0.033250643797103505,346.6499938964844,0,0,1,0
211635,-24471,-8564850.0,-0.10364412594343218,345.8800048828125,1,0,1,1
236106,24471,566503.65,0.1156283223474378,345.8800048828125,1,0,1,1
211635,-1000,-344430.0,-0.004702894631645778,348.8599853515625,0,0,1,1
212635,-400,-138432.0,-0.0018776257422489263,348.8599853515625,0,0,1,1
213035,-500,-172665.0,-0.002341536516261971,348.8599853515625,0,0,1,1
213535,-1500,-514980.0,-0.006975608621852257,348.8599853515625,0,0,1,1
215035,-1335,-457210.80000000005,-0.00616998659703286,348.8599853515625,0,0,1,1
216370,-5378,-1836264.32,-0.024252755379980877,348.8599853515625,0,0,1,1
221748,-14887,-5065599.489999999,-0.06291123460181292,348.8599853515625,0,0,1,1
236635,25000,578750.0,0.11812790889975666,348.8599853515625,0,0,1,1
5885,-106,-34295.240000000005,-0.01769320647638124,328.5199890136719,0,0,0,1
211635,-5343,-1742031.7200000002,-0.024624616320548628,325.0899963378906,1,0,0,1
216978,-19657,-6391670.12,-0.08306886132651552,325.0899963378906,1,0,0,1
